angle_of_attack_deg,CL,CD,CL_fit,CD_fit
0.0,0.07283489196572951,0.04450242513780661,0.04407898102428972,0.04345497230098045
1.0,0.14723881480096876,0.041848798144264725,0.13817956494218245,0.040954030551896475
2.0,0.22151526553145556,0.04020060968846216,0.22669046967708298,0.03938307000361842
3.0,0.2958330144294689,0.039516094320178864,0.30961169522899135,0.03874209065614627
4.0,0.36854949156273453,0.03976741440333888,0.3869432415979076,0.039031092509480024
5.0,0.43883740178046476,0.04076204070861769,0.4586851087838317,0.0402500755636197
6.0,0.5065631087712172,0.042381304878003574,0.5248372967867636,0.042399039818565284
7.0,0.5719527156752031,0.04456150517370308,0.5853998056067035,0.04547798527431679
8.0,0.635013964076262,0.04727434046553913,0.640372635243651,0.0494869119308742
9.0,0.6959118715193119,0.050545475528483874,0.6897557856976065,0.054425819788237524
10.0,0.7540650067163146,0.05437088157863122,0.7335492569685698,0.06029470884640676
11.0,0.8097657478867145,0.05875775896435186,0.7717530490565407,0.06709357910538191
12.0,0.8083149265628381,0.07437984842435999,0.8043671619615197,0.07482243056516297
13.0,0.85571440030564,0.0810334429284292,0.8313915956835065,0.08348126322574995
14.0,0.855879801427376,0.10212300086172656,0.8528263502225012,0.09307007708714285
15.0,0.8539800801653232,0.1158395203135388,0.8686714255785036,0.10358887214934162
16.0,0.8550843023531867,0.1324569623579492,0.8789268217515139,0.11503764841234634
17.0,0.8847484594246722,0.12100044325557259,0.8835925387415321,0.12741640587615694
18.0,0.8815083733033652,0.1356787323499523,0.8826685765485583,0.1407251445407735
19.0,0.8758009399070324,0.15010572038660283,0.8761549351725921,0.15496386440619597
20.0,0.8633953327227015,0.1671253282153045,0.8640516146136337,0.1701325654724243
